Name,Gender,Team,Salary,Bonus %,Senior Management,Start Date,Start Year,Year Of Service,Salary_normalized,Bonus %_normalized,Year Of Service_normalized,Salary_scaled,Bonus %_scaled,Year Of Service_scaled,Salary Category
Grace Brown,Female,Sales,30000.0,22.2,True,2016-03-22,2016,9,0.0,0.881578947368421,0.35294117647058826,-2.0340223740012884,1.4453246955286845,-0.3763442502886917,Low
Nina White,Female,Engineering,55200.0,9.9,False,2011-09-07,2011,14,0.23728813559322032,0.3421052631578948,0.6470588235294117,-0.8832059432686331,-0.4712829002885562,0.5740200181170951,Low
Karen Davis,Female,Finance,72600.0,20.9,False,2006-04-25,2006,19,0.4011299435028249,0.824561403508772,0.9411764705882353,-0.08859459823894252,1.2427564130439352,1.5243842865228818,Medium
Nina Jones,Male,Marketing,73800.0,4.5,False,2017-10-21,2017,8,0.4124293785310735,0.10526315789473686,0.29411764705882354,-0.033793815823101786,-1.3127203813790522,-0.566417103969849,Medium
Grace Moore,Male,Operations,80700.0,21.5,False,2018-05-15,2018,7,0.47740112994350276,0.8508771929824561,0.23529411764705882,0.2813106830679824,1.336249466498435,-0.7564899576510064,Medium
Sam Miller,Male,Marketing,81700.0,4.9,False,2021-02-01,2021,4,0.4868173258003767,0.12280701754385967,0.05882352941176472,0.3269780017478497,-1.2503916790760525,-1.3267085186944785,Medium
Karen Taylor,Female,Marketing,108400.0,11.1,True,2013-04-12,2013,12,0.7382297551789077,0.39473684210526316,0.5294117647058822,1.546295410500306,-0.28429679337955716,0.19387431075478043,High
Xander Jones,Male,Operations,81900.0,20.3,True,2021-02-26,2021,4,0.48870056497175135,0.7982456140350878,0.05882352941176472,0.33611146548382315,1.1492633595894362,-1.3267085186944785,Medium
David Davis,Male,Sales,68100.0,5.4,True,2012-02-07,2012,13,0.3587570621468927,0.1447368421052632,0.588235294117647,-0.29409753229834523,-1.172480801197303,0.3839471644359378,Medium
Xander Williams,Male,Finance,39800.0,7.3,False,2006-04-15,2006,19,0.09227871939736343,0.22807017543859653,0.9411764705882353,-1.5864826509385892,-0.8764194652580544,1.5243842865228818,Low
Victor Jones,Male,Engineering,44900.0,18.6,True,2017-06-21,2017,8,0.14030131826741993,0.7236842105263159,0.29411764705882354,-1.353579325671266,0.8843663748016874,-0.566417103969849,Low
Bob Davis,Female,HR,86800.0,18.6,False,2007-07-19,2007,18,0.5348399246704332,0.7236842105263159,0.8823529411764706,0.5598813270151728,0.8843663748016874,1.3343114328417245,Medium
Leo Jackson,Female,Engineering,98300.0,16.7,False,2020-10-25,2020,5,0.643126177024482,0.6403508771929824,0.11764705882352944,1.0850554918336464,0.5883050388624386,-1.1366356650133211,Medium
Frank Johnson,Male,HR,108900.0,18.0,False,2010-03-01,2010,15,0.7429378531073445,0.6973684210526316,0.7058823529411764,1.5691290698402396,0.7908733213471877,0.7640928717982525,High
Omar Jones,Male,Engineering,56800.0,14.5,False,2011-03-17,2011,14,0.2523540489642185,0.5438596491228072,0.6470588235294117,-0.8101382333808455,0.24549717619594033,0.5740200181170951,Low
Alice Anderson,unknown,unknown,68300.0,12.4,True,2014-10-17,2014,11,0.36064030131826735,0.4517543859649123,0.4705882352941177,-0.2849640685623718,-0.08172851089480804,0.0038014570736230663,Medium
Zane Garcia,Male,Finance,80300.0,10.0,True,2013-06-03,2013,12,0.4736346516007533,0.34649122807017546,0.5294117647058822,0.2630437555960355,-0.4557007247128063,0.19387431075478043,Medium
Nina Anderson,Male,HR,120000.0,6.2,False,2006-12-12,2006,19,0.847457627118644,0.17982456140350878,0.9411764705882353,2.0760363071867665,-1.0478233965913035,1.5243842865228818,High
Yara Smith,Male,Legal,77500.0,22.9,False,2019-03-06,2019,6,0.44726930320150654,0.9122807017543861,0.1764705882352941,0.13517526329240714,1.554399924558934,-0.9465628113321637,Medium
Priya Taylor,Male,Sales,109100.0,15.4,False,2009-02-26,2009,16,0.7448210922787193,0.5833333333333335,0.7647058823529411,1.578262533576213,0.3857367563776897,0.9541657254794098,High
Jack Harris,Female,Engineering,78700.0,11.2,False,2008-08-11,2008,17,0.45856873822975514,0.3991228070175439,0.8235294117647058,0.18997604570824786,-0.2687146178038073,1.1442385791605671,Medium
Omar Anderson,Female,Engineering,100400.0,12.6,True,2008-05-03,2008,17,0.6629001883239172,0.46052631578947373,0.8235294117647058,1.1809568610613677,-0.0505641597433083,1.1442385791605671,High
Paul White,Male,HR,97600.0,23.8,False,2022-01-08,2022,3,0.6365348399246704,0.9517543859649125,0.0,1.0530883687577393,1.6946395047406835,-1.5167813723756358,Medium
Liam Jackson,Male,Sales,78700.0,5.5,False,2008-03-14,2008,17,0.45856873822975514,0.14912280701754388,0.8235294117647058,0.18997604570824786,-1.156898625621553,1.1442385791605671,Medium
Olivia Jackson,Female,Sales,52600.0,15.5,False,2021-10-14,2021,4,0.2128060263653484,0.5877192982456141,0.05882352941176472,-1.001940971836288,0.4013189319534396,-1.3267085186944785,Low
Sam Anderson,Male,Operations,69100.0,13.6,True,2016-08-10,2016,9,0.3681732580037665,0.5043859649122808,0.35294117647058826,-0.24843021361847797,0.10525759601419095,-0.3763442502886917,Medium
Wendy Brown,Female,Legal,107800.0,16.1,False,2021-04-02,2021,4,0.7325800376647833,0.6140350877192984,0.05882352941176472,1.5188950192923856,0.49481198540793936,-1.3267085186944785,High
Yara Williams,Female,Operations,94300.0,2.4,False,2014-07-14,2014,11,0.6054613935969868,0.013157894736842105,0.4705882352941177,0.9023862171141773,-1.6399460684698006,0.0038014570736230663,Medium
Eve Williams,Male,Operations,65500.0,22.1,True,2005-10-09,2005,20,0.3342749529190207,0.8771929824561404,1.0,-0.4128325608660002,1.4297425199529348,1.7144571402040394,Medium
Grace Jones,Male,Operations,67500.0,23.4,False,2022-12-03,2022,3,0.3531073446327683,0.9342105263157896,0.0,-0.3214979235062656,1.6323108024376836,-1.5167813723756358,Medium
Iris Miller,unknown,unknown,36900.0,12.4,True,2022-02-21,2022,3,0.06497175141242939,0.4517543859649123,0.0,-1.7189178751102043,-0.08172851089480804,-1.5167813723756358,Low
Rosa Brown,Male,Operations,106800.0,18.0,False,2018-07-26,2018,7,0.7231638418079096,0.6973684210526316,0.23529411764705882,1.4732277006125183,0.7908733213471877,-0.7564899576510064,High
Yara Anderson,Female,Finance,94500.0,23.2,False,2019-05-08,2019,6,0.6073446327683616,0.9254385964912282,0.1764705882352941,0.9115196808501508,1.6011464512861837,-0.9465628113321637,Medium
Nate Johnson,Female,Sales,72000.0,18.3,True,2016-05-16,2016,9,0.39548022598870053,0.7105263157894739,0.35294117647058826,-0.11599498944686287,0.8376198480744376,-0.3763442502886917,Medium
Zane Wilson,Female,Operations,79400.0,5.5,False,2008-06-02,2008,17,0.4651600753295669,0.14912280701754388,0.8235294117647058,0.22194316878415496,-1.156898625621553,1.1442385791605671,Medium
